protein_id,contig_id,keywords
NP_039777.1,Sulfolobus spindle-shaped virus 1,ORF B-251 
NP_039778.1,Sulfolobus spindle-shaped virus 1,ORF D-335 
NP_039779.1,Sulfolobus spindle-shaped virus 1,ORF E-54 
NP_039780.1,Sulfolobus spindle-shaped virus 1,ORF F-92 
NP_039781.1,Sulfolobus spindle-shaped virus 1,ORF D-244 
NP_039782.1,Sulfolobus spindle-shaped virus 1,ORF E-178 
NP_039783.1,Sulfolobus spindle-shaped virus 1,ORF F-93 
NP_039784.1,Sulfolobus spindle-shaped virus 1,ORF E-51 
NP_039785.1,Sulfolobus spindle-shaped virus 1,ORF E-96 
NP_039786.1,Sulfolobus spindle-shaped virus 1,ORF D-63 
NP_039787.1,Sulfolobus spindle-shaped virus 1,ORF F-112 
NP_039788.1,Sulfolobus spindle-shaped virus 1,ORF B-49 
NP_039789.1,Sulfolobus spindle-shaped virus 1,ORF A-100 
NP_039790.1,Sulfolobus spindle-shaped virus 1,ORF A-132 
NP_039791.1,Sulfolobus spindle-shaped virus 1,ORF C-80 
NP_039792.1,Sulfolobus spindle-shaped virus 1,ORF A-79 
NP_039793.1,Sulfolobus spindle-shaped virus 1,ORF A-45 
NP_039794.1,Sulfolobus spindle-shaped virus 1,ORF C-102 
NP_039795.1,Sulfolobus spindle-shaped virus 1,ORF B-129 
NP_039796.1,Sulfolobus spindle-shaped virus 1,ORF A-291 
NP_039797.1,Sulfolobus spindle-shaped virus 1,ORF C-124 
NP_039798.1,Sulfolobus spindle-shaped virus 1,ORF C-792 
NP_039799.1,Sulfolobus spindle-shaped virus 1,ORF B-78 
NP_039800.1,Sulfolobus spindle-shaped virus 1,ORF C-166 
NP_039801.1,Sulfolobus spindle-shaped virus 1,VP3 protein 
NP_039802.1,Sulfolobus spindle-shaped virus 1,VP2 protein 
NP_039803.1,Sulfolobus spindle-shaped virus 1,ORF A-82 
NP_039804.1,Sulfolobus spindle-shaped virus 1,ORF C-84 
NP_039805.1,Sulfolobus spindle-shaped virus 1,ORF B-277 
NP_039806.1,Sulfolobus spindle-shaped virus 1,ORF C-102 
NP_039807.1,Sulfolobus spindle-shaped virus 1,"ORF A-153, partial "
NP_046956.1,Methanobacterium phage psiM2,hypothetical protein psiM2p01 
NP_046957.1,Methanobacterium phage psiM2,hypothetical protein psiM2p03 
NP_046958.1,Methanobacterium phage psiM2,hypothetical protein psiM2p04 
NP_046959.1,Methanobacterium phage psiM2,hypothetical protein psiM2p05 
NP_046960.1,Methanobacterium phage psiM2,hypothetical protein psiM2p06 
NP_046961.1,Methanobacterium phage psiM2,hypothetical protein psiM2p07 
NP_046962.1,Methanobacterium phage psiM2,hypothetical protein psiM2p08 
NP_046963.1,Methanobacterium phage psiM2,small terminase subunit 
NP_046964.1,Methanobacterium phage psiM2,large terminase subunit 
NP_046965.1,Methanobacterium phage psiM2,portal protein 
NP_046966.1,Methanobacterium phage psiM2,hypothetical protein psiM2p12 
NP_046967.1,Methanobacterium phage psiM2,structural protein 
NP_046968.1,Methanobacterium phage psiM2,structural protein 
NP_046969.1,Methanobacterium phage psiM2,hypothetical protein psiM2p15 
NP_046970.1,Methanobacterium phage psiM2,hypothetical protein psiM2p16 
NP_046971.1,Methanobacterium phage psiM2,hypothetical protein psiM2p17 
NP_046972.1,Methanobacterium phage psiM2,hypothetical protein psiM2p18 
NP_046973.1,Methanobacterium phage psiM2,structural protein 
NP_046974.1,Methanobacterium phage psiM2,hypothetical protein psiM2p20 
NP_046975.1,Methanobacterium phage psiM2,hypothetical protein psiM2p21 
NP_046976.1,Methanobacterium phage psiM2,tail protein 
NP_046977.1,Methanobacterium phage psiM2,ATP/GTP-binding protein 
NP_046978.1,Methanobacterium phage psiM2,hypothetical protein psiM2p24 
NP_046979.1,Methanobacterium phage psiM2,hypothetical protein psiM2p25 
NP_046980.1,Methanobacterium phage psiM2,hypothetical protein psiM2p26 
NP_046981.1,Methanobacterium phage psiM2,hypothetical protein psiM2p27 
NP_046982.1,Methanobacterium phage psiM2,hypothetical protein psiM2p28 
NP_046983.1,Methanobacterium phage psiM2,pseudomurein endosiopeptidase 
NP_046984.1,Methanobacterium phage psiM2,hypothetical protein psiM2p30 
NP_046985.1,Methanobacterium phage psiM2,hypothetical protein psiM2p31 
NP_046986.1,Methanobacterium phage psiM2,hypothetical protein psiM2p32 
NP_071803.1,Methanothermobacter phage psiM100,putative integrase 
NP_071804.1,Methanothermobacter phage psiM100,unknown 
NP_071805.1,Methanothermobacter phage psiM100,unknown 
NP_071806.1,Methanothermobacter phage psiM100,unknown 
NP_071807.1,Methanothermobacter phage psiM100,unknown 
NP_071808.1,Methanothermobacter phage psiM100,unknown 
NP_071809.1,Methanothermobacter phage psiM100,unknown 
NP_071810.1,Methanothermobacter phage psiM100,unknown 
NP_071811.1,Methanothermobacter phage psiM100,unknown 
NP_071812.1,Methanothermobacter phage psiM100,unknown 
NP_071813.1,Methanothermobacter phage psiM100,unknown 
NP_071814.1,Methanothermobacter phage psiM100,unknown 
NP_071815.1,Methanothermobacter phage psiM100,unknown 
NP_071816.1,Methanothermobacter phage psiM100,unknown 
NP_071817.1,Methanothermobacter phage psiM100,putative small terminase subunit 
NP_071818.1,Methanothermobacter phage psiM100,putative large terminase subunit 
NP_071819.1,Methanothermobacter phage psiM100,putative portal protein 
NP_071820.1,Methanothermobacter phage psiM100,unknown 
NP_071821.1,Methanothermobacter phage psiM100,putative structural protein 
NP_071822.1,Methanothermobacter phage psiM100,putative structural protein 
NP_071823.1,Methanothermobacter phage psiM100,unknown 
NP_071824.1,Methanothermobacter phage psiM100,unknown 
NP_071825.1,Methanothermobacter phage psiM100,unknown 
NP_071826.1,Methanothermobacter phage psiM100,unknown 
NP_071827.1,Methanothermobacter phage psiM100,putative structural protein 
NP_071828.1,Methanothermobacter phage psiM100,unknown 
NP_071829.1,Methanothermobacter phage psiM100,unknown 
NP_071830.1,Methanothermobacter phage psiM100,putative tail protein 
NP_071831.1,Methanothermobacter phage psiM100,unknown 
NP_071832.1,Methanothermobacter phage psiM100,unknown 
NP_071833.1,Methanothermobacter phage psiM100,unknown 
NP_071834.1,Methanothermobacter phage psiM100,unknown 
NP_071835.1,Methanothermobacter phage psiM100,unknown 
NP_071836.1,Methanothermobacter phage psiM100,unknown 
