All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        contig1  contigs2_fna
# misassemblies                                 0        0           
  # contig misassemblies                        0        0           
    # c. relocations                            0        0           
    # c. translocations                         0        0           
    # c. inversions                             0        0           
  # scaffold misassemblies                      0        0           
    # s. relocations                            0        0           
    # s. translocations                         0        0           
    # s. inversions                             0        0           
# misassembled contigs                          0        0           
Misassembled contigs length                     0        0           
# local misassemblies                           0        0           
# scaffold gap ext. mis.                        0        0           
# scaffold gap loc. mis.                        0        0           
# misassemblies caused by fragmented reference  0        0           
# possible TEs                                  0        0           
# mismatches                                    0        0           
# indels                                        0        0           
    # indels (<= 5 bp)                          0        0           
    # indels (> 5 bp)                           0        0           
Indels length                                   0        0           
