B_FR_83_HXB2_ACC_K03455_5,D_CD_83_ELI_ACC_K03454_7,0.0669206
B_FR_83_HXB2_ACC_K03455_5,D_CD_83_NDK_ACC_M27323,0.0592586
B_FR_83_HXB2_ACC_K03455_5,D_CD_84_84ZR085_ACC_U88822,0.0663619
B_FR_83_HXB2_ACC_K03455_5,D_UG_94_94UG114_ACC_U88824,0.0847988
B_US_83_RF_ACC_M17451,D_CD_83_ELI_ACC_K03454_7,0.0810759
B_US_83_RF_ACC_M17451,D_CD_83_NDK_ACC_M27323,0.0661066
B_US_83_RF_ACC_M17451,D_CD_84_84ZR085_ACC_U88822,0.0769146
B_US_83_RF_ACC_M17451,D_UG_94_94UG114_ACC_U88824,0.0955213
B_US_86_JRFL_ACC_U63632,D_CD_83_ELI_ACC_K03454_7,0.0771797
B_US_86_JRFL_ACC_U63632,D_CD_83_NDK_ACC_M27323,0.0609044
B_US_86_JRFL_ACC_U63632,D_CD_84_84ZR085_ACC_U88822,0.0705011
B_US_86_JRFL_ACC_U63632,D_UG_94_94UG114_ACC_U88824,0.0882054
B_US_90_WEAU160_ACC_U21135,D_CD_83_ELI_ACC_K03454_7,0.0771856
B_US_90_WEAU160_ACC_U21135,D_CD_83_NDK_ACC_M27323,0.0609097
B_US_90_WEAU160_ACC_U21135,D_CD_84_84ZR085_ACC_U88822,0.0740203
B_US_90_WEAU160_ACC_U21135,D_UG_94_94UG114_ACC_U88824,0.0890019
ID1,ID2,Distance
